Component_ID,Lot_ID,Time_hr,Leakage_uA,Voltage_V,Current_mA,Prop_Delay_ns,Temperature_C,Defect_Label
C_00001,L_001,0,8.73260360477852,3.251224120283654,17.414019221911957,4.205113616126692,55.90054143496775,0
C_00001,L_001,24,9.413128864937557,3.2786739018106603,18.75287194583113,4.233254534560015,55.76336603204485,0
C_00001,L_001,96,12.17760984292325,3.311687733556301,19.04188982027397,4.223321459934729,59.65066540850203,0
C_00001,L_001,168,14.69138083228499,3.2987518522253434,20.41681193640463,4.187762818223842,61.849340879005204,1
C_00002,L_002,0,9.157394897983941,3.3133077296388334,18.164449828963836,4.216509304463839,54.48600661340427,0
C_00002,L_002,24,10.2112253236997,3.2898396245903845,17.76949077191781,4.169591948012942,58.088413775038035,0
C_00002,L_002,96,11.843793223646365,3.297151313558628,17.621929585366864,4.17559217994378,66.02488959280488,0
C_00002,L_002,168,13.589213417186809,3.31357885670763,17.70052063172009,4.2242864529226685,73.78071134538965,1
C_00003,L_003,0,8.501927265177954,3.316972839076797,18.03041058127,4.2115647759476,56.045714533537826,0
C_00003,L_003,24,8.308334071380036,3.292008219591067,17.788332305568243,4.319444886070267,56.9004030138634,0
C_00003,L_003,96,9.16653771264288,3.278354222107669,18.435725259566166,4.712685209135368,59.24125786995655,0
C_00003,L_003,168,9.253569986006221,3.314655558283982,18.320051960906785,5.246733889407997,62.59813796401707,1
C_00004,L_004,0,8.116457670947403,3.2681078419165517,17.490020753698435,4.163221908559936,56.02957105750858,0
C_00004,L_004,24,8.259265472368675,3.317262133851694,17.80773630914856,4.208484444785926,56.73945003572166,0
C_00004,L_004,96,8.426155634075972,3.311419380938935,,4.194049274708826,60.322137044189375,0
C_00004,L_004,168,8.514796046369227,3.312174312019639,17.788768946908775,4.215499764749107,62.541914527202,0
C_00005,L_005,0,8.72879527402244,3.289417542198896,17.96412680509212,4.132506622641679,55.79846213076734,0
C_00005,L_005,24,8.629017383145527,3.2750688293099626,18.179898402025547,4.165923694928455,54.40632217594944,0
C_00005,L_005,96,9.462706363376363,3.2910934007234642,18.33188200581019,4.171226721371034,59.1176335065813,0
C_00005,L_005,168,9.419583256296514,3.2915241731024856,18.37813866185583,4.145907183072306,62.753474930558845,0
C_00006,L_006,0,8.46880613669218,3.301803237692847,17.76172828092129,4.209307048454188,54.28702005316384,0
C_00006,L_006,24,9.130466777630632,3.294016109313174,17.539426128320162,4.20931388254111,56.169079717485275,0
C_00006,L_006,96,9.425950420868446,3.3208777811478645,18.16059197661728,4.267103544220212,59.835424592194684,0
C_00006,L_006,168,9.405291461562514,3.2768356014648616,17.824585588579904,4.159932554097748,61.573484334812576,0
C_00007,L_007,0,8.701801428152725,3.3078378461862545,18.377156955552472,4.279869235667672,53.23503244659681,0
C_00007,L_007,24,9.057917184580845,3.2752615469992032,17.04057917367091,4.212851315636611,59.639492102065944,0
C_00007,L_007,96,9.204712651222067,3.2846975800235048,17.936644101112627,4.251210637802934,58.595899257056175,0
C_00007,L_007,168,9.547076158850691,3.2741086561793544,17.24639267488304,4.195547683637066,63.18845828093441,0
C_00008,L_008,0,8.594245326411325,3.287517610036521,17.46677530511234,4.161395329510706,55.15632942576746,0
C_00008,L_008,24,8.961010147930727,3.2794653330193904,18.377320141681356,4.166025770019377,55.27258586541424,0
C_00008,L_008,96,9.128776914987114,3.2960840525585478,17.981656863239056,4.182379920754253,60.68931618687766,0
C_00008,L_008,168,9.45918885962238,3.269359855905819,17.424928091556172,4.221903516708885,63.5352866417785,0
C_00009,L_009,0,9.626812584615763,3.3326500435426705,18.098722125613737,4.183562910766651,54.85763400866814,0
C_00009,L_009,24,9.773572316634773,3.3383938997998994,18.08245549674986,4.153164095874037,57.47040359492901,0
C_00009,L_009,96,10.356660020186434,3.3430916430195823,17.91921635402283,4.19324393572599,57.92963753233377,0
C_00009,L_009,168,10.223321604290106,3.2776318245261042,18.28949705761007,4.199215795085617,64.75373315069064,0
C_00010,L_010,0,8.734761428332419,3.3022646226725434,18.289772456974585,4.117993115958759,55.40508945855872,0
C_00010,L_010,24,8.425865312958543,3.269529673489409,17.604831434882062,4.188777919514825,56.084395060541006,0
C_00010,L_010,96,8.627592277364062,3.30076578731486,17.78212375499989,4.19546450479695,60.67051162225579,0
C_00010,L_010,168,9.251899950163818,3.3334349526860683,17.930472444337546,4.187162295533172,64.20330939036552,0
C_00011,L_011,0,8.148108975181644,3.302262244540697,18.102702748562507,4.300698961501357,55.21188803014445,0
C_00011,L_011,24,8.297927503799071,3.2928154159612704,17.341451099173348,4.178514576584318,58.39507067639515,0
C_00011,L_011,96,8.993202394807572,3.2817729040564094,17.70563410196949,4.1226798673818825,59.95015457573698,0
C_00011,L_011,168,8.909551585060997,3.286764014315848,17.605412649824586,4.211229497829898,62.80480089534611,0
C_00012,L_012,0,7.052854061421033,3.2725803605386337,18.826611087744592,4.316202686769617,57.55509653443396,0
C_00012,L_012,24,7.262973102104939,3.3085388887735125,18.77791393998252,4.162668574005728,54.736977188266735,0
C_00012,L_012,96,7.6031820428471795,3.3108691518616653,17.830729767946455,4.203218509990787,59.27709515629804,0
C_00012,L_012,168,7.554393370069907,3.293340312749776,18.104476450331816,4.192786911247239,61.35012502995602,0
C_00013,L_013,0,8.923393119293452,3.3013288836894463,18.000037976891136,4.171137678658286,55.18651519320216,0
C_00013,L_013,24,8.98477726201794,3.3523292077232645,18.70800970611386,4.217576719245117,56.52265025686511,0
C_00013,L_013,96,9.228690436627668,3.3297785738272214,18.11823715131621,4.227777164707094,58.655759919794846,0
C_00013,L_013,168,10.022499080117472,3.311360508455359,17.500306192013486,4.196139007702002,60.906496815630966,0
C_00014,L_014,0,8.710974154797691,3.2937005655448277,18.068653130446112,4.258859678919727,54.649394577035736,0
C_00014,L_014,24,8.793556277034908,3.304412810534311,18.133197295359196,4.187266273890006,53.06286701373959,0
C_00014,L_014,96,9.214990356506451,3.3431837553541044,17.309762367787737,4.243124549119357,57.46336243245427,0
C_00014,L_014,168,9.464674631979976,3.273677537232401,17.849494722439857,4.267001783787959,62.605769732252526,0
C_00015,L_015,0,9.046894271598719,3.343598363154195,18.197546921432235,4.233119527071882,56.41289426677323,0
C_00015,L_015,24,9.1495917228734,3.282564404417493,18.445312770567686,4.155010712218263,55.7869719986155,0
C_00015,L_015,96,9.61256070554986,3.3292811773366826,18.337891044929066,4.2813972748773015,60.51024898232976,0
C_00015,L_015,168,9.873175069765251,3.298326170677545,17.472596763332334,4.194268806305349,63.87692962936637,0
C_00016,L_016,0,9.450390777334432,3.300819552321906,17.452547932778494,4.173154388904137,54.1612834857055,0
C_00016,L_016,24,9.980975484168397,3.315219036805611,16.968919721130856,4.214317526304068,56.51726850871864,0
C_00016,L_016,96,10.267997812162733,3.34040524204128,17.071542775437866,4.184927291563785,59.65786885930766,0
C_00016,L_016,168,10.329288812020398,3.3368987262013374,18.165760475715295,4.248863359433736,63.70908758735202,0
C_00017,L_017,0,8.232257480559435,3.305860022317467,18.121654457676776,4.165466189410425,56.28216586718685,0
C_00017,L_017,24,8.28782945770564,3.3095848466088373,18.449920911109633,4.159801413863721,55.965822726568724,0
C_00017,L_017,96,8.956777741962638,3.2814102942796857,17.629987492219357,4.216663676244677,59.421417735045075,0
C_00017,L_017,168,9.067004663221903,3.3332240147609244,18.385557292154935,4.248672802675602,64.01326222858238,0
C_00018,L_018,0,8.632247538354893,3.3401063590379283,17.794035256069428,4.204315217773721,54.75380597336075,0
C_00018,L_018,24,8.896118646639623,3.268708819647346,17.279424928296514,4.17037740554184,57.714317964689776,0
C_00018,L_018,96,9.853810615046614,3.3069068544832136,17.364255352248435,4.116167291106123,60.09899249864896,0
C_00018,L_018,168,10.249468556595502,3.311484644292915,18.315879131799573,4.220529657282347,63.06522430246846,0
C_00019,L_019,0,9.025251972446517,3.295509714654213,18.08854924349563,4.232821139016697,55.63607764672176,0
C_00019,L_019,24,9.364119439108748,3.2933540302021154,17.947106024702343,4.23532361882382,55.67036773618766,0
C_00019,L_019,96,9.391592833965122,3.2629453650639295,16.949872746068262,4.181440850965222,57.17975612616358,0
C_00019,L_019,168,9.928327241011328,3.304944752048546,18.490147873519856,4.268107445290708,63.89932067967329,0
C_00020,L_020,0,8.435871765402759,3.2851399911950314,17.333758569345743,4.164474645850654,55.11055199012093,0
C_00020,L_020,24,8.880778811581818,3.3430192457791494,17.378018318080333,4.2178559558732545,55.71323711716783,0
C_00020,L_020,96,9.27016917122294,3.2967228337328067,17.17609237836861,4.245703308234169,58.322775844439526,0
C_00020,L_020,168,9.53721183959822,3.2732561897177574,17.7055725254906,4.232115617627796,62.27399914462952,0
C_00021,L_001,0,8.455248059339587,3.2914303462283905,17.33541398241942,4.242688896662879,55.43430622471461,0
C_00021,L_001,24,8.527569106993578,3.3095844278295616,17.940988111408494,4.216093892904709,55.74507133634044,0
C_00021,L_001,96,9.029039479074726,3.3017345283783195,18.072085766992682,4.251621034870085,61.912643643580125,0
C_00021,L_001,168,9.043376167791736,3.2993534288011532,18.141258695155898,4.181665247762024,61.98520676067918,0
C_00022,L_002,0,7.169741203394642,3.292670210333781,18.87175402309328,4.244239734796292,53.65913906441247,0
C_00022,L_002,24,7.341782295248087,3.2898230440912415,17.872036272881957,4.209555883119473,54.988347803247194,0
C_00022,L_002,96,7.298804304077363,3.326596288318359,17.48612779823592,4.20882499106592,60.31443391179904,0
C_00022,L_002,168,7.480701242218609,3.335830362665154,18.041184080177942,4.238231083813192,66.11720847191499,0
C_00023,L_003,0,8.417706008537477,3.2787115702703558,18.299513356341045,4.243411480177836,54.0646211239295,0
